;O_P_ Numero;Item_O_P;Desc_item;ITEMS_NUEVO ;Bodega;Fecha;U_M_inv.;Neto_peso;Entradas_peso;Entradas_inv;Salidas_inv;Salidas_peso;Salidas_prom;Neto_prom;Costo_MP_sal;Costo_MO_sal;Costo_CIF_sal;Tipo_inventario;Costo_CIF_NP_ent;Costo_MO_ent;Costo_CIF_EN_ent;Tipo_docto
;OP-00001648;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;CINTA CR 0,52 MM X 145 MM;OP-0000164800002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;01/02/2022;kg  ;-2.598,00;0,00;0,00;2.598,00;2.598,00;$9.074.571,52;-$9.074.571,52;$9.060.213,24;$4.165,46;$10.192,82;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001648;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;FLEJE ANCHO CORRIENTE NEGRO C.24;OP-0000164800002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;01/02/2022;Und ;2.745,00;2.745,00;732,00;0,00;0,00;$0,00;$9.391.630,02;$0,00;$0,00;$0,00;IN143005  ;$10.192,82;$187.327,46;$133.896,50;EDP
;OP-00001655;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;CINTA CR 0,52 MM X 145 MM;OP-0000165500002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;01/02/2022;kg  ;-866,00;0,00;0,00;866,00;866,00;$3.024.868,72;-$3.024.868,72;$3.020.071,08;$1.385,60;$3.412,04;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001655;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;FLEJE ANCHO CORRIENTE NEGRO C.24;OP-0000165500002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;02/02/2022;Und ;915,00;915,00;244,00;0,00;0,00;$0,00;$3.431.161,22;$0,00;$0,00;$0,00;IN143005  ;$3.412,04;$236.879,60;$170.798,50;EDP
;OP-00001656;00001121 PERFIL PASAMANOS T.A. C.20A;CINTA 0.75 MM x 109 MM;OP-0000165600001121 PERFIL PASAMANOS T.A. C.20A;00105;01/02/2022;kg  ;-2.004,00;0,00;0,00;2.004,00;2.004,00;$8.054.971,07;-$8.054.971,07;$8.035.465,51;$7.201,03;$12.304,53;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00001121 PERFIL PASAMANOS T.A. C.20A;PERFIL PASAMANOS T.A. C.20A;OP-0000165600001121 PERFIL PASAMANOS T.A. C.20A;00105;02/02/2022;Und ;2.046,72;2.046,72;492,00;0,00;0,00;$0,00;$8.488.203,07;$0,00;$0,00;$0,00;IN143005  ;$12.304,53;$124.948,03;$315.485,00;EDP
;OP-00001656;00004475 PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;CINTA GALV 0,38 MM X 40 MM;OP-0000165600004475 PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;00105;01/02/2022;kg  ;-260,00;0,00;0,00;260,00;260,00;$1.075.425,00;-$1.075.425,00;$1.067.105,00;$2.867,80;$5.452,20;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00004475 PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;OP-0000165600004475 PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;00105;02/02/2022;Und ;225,94;225,94;869,00;0,00;0,00;$0,00;$1.303.494,00;$0,00;$0,00;$0,00;IN143005  ;$5.452,20;$117.050,80;$113.886,00;EDP
;OP-00001656;00004569 PERFIL C HR 120 MM X 60 MM CAL. 16B;CINTA HR 1.40 MM X 249 MM;OP-0000165600004569 PERFIL C HR 120 MM X 60 MM CAL. 16B;00105;01/02/2022;kg  ;-4.100,00;0,00;0,00;4.100,00;4.100,00;$18.311.646,19;-$18.311.646,19;$18.300.780,73;$4.469,00;$6.396,46;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00004569 PERFIL C HR 120 MM X 60 MM CAL. 16B;PERFIL C HR 120 MM X 60 MM CAL. 16B;OP-0000165600004569 PERFIL C HR 120 MM X 60 MM CAL. 16B;00105;02/02/2022;Und ;4.541,76;4.541,76;249,00;0,00;0,00;$0,00;$18.677.920,63;$0,00;$0,00;$0,00;IN143005  ;$6.396,46;$225.833,36;$144.910,08;EDP
;OP-00001656;00004570 PERFIL C HR 220 MM X 80 MM CAL. 16B;CINTA HR 1.40 MM X 398 MM;OP-0000165600004570 PERFIL C HR 220 MM X 80 MM CAL. 16B;00105;01/02/2022;kg  ;-3.293,00;0,00;0,00;3.293,00;3.293,00;$14.635.310,41;-$14.635.310,41;$14.632.083,27;$1.350,13;$1.877,01;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00004570 PERFIL C HR 220 MM X 80 MM CAL. 16B;PERFIL C HR 220 MM X 80 MM CAL. 16B;OP-0000165600004570 PERFIL C HR 220 MM X 80 MM CAL. 16B;00105;02/02/2022;Und ;3.527,64;3.527,64;123,00;0,00;0,00;$0,00;$14.931.334,10;$0,00;$0,00;$0,00;IN143005  ;$1.877,01;$180.194,74;$117.179,08;EDP
;OP-00001656;00005019 PERFIL C HR 220 MM X 80 MM CAL.14;CINTA HR 1.85 MM X 395 MM;OP-0000165600005019 PERFIL C HR 220 MM X 80 MM CAL.14;00105;01/02/2022;kg  ;-1.360,00;0,00;0,00;1.360,00;1.360,00;$3.751.804,80;-$3.751.804,80;$3.737.443,20;$5.888,80;$8.472,80;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00005019 PERFIL C HR 220 MM X 80 MM CAL.14;PERFIL C HR 220 MM X 80 MM CAL.14;OP-0000165600005019 PERFIL C HR 220 MM X 80 MM CAL.14;00105;02/02/2022;Und ;1.411,80;1.411,80;39,00;0,00;0,00;$0,00;$3.868.725,60;$0,00;$0,00;$0,00;IN143005  ;$8.472,80;$76.537,00;$46.272,60;EDP
;OP-00001657;00001128 TUBO CUAD 1 C.18B;CINTA CR 1.05 MM X 92 MM;OP-0000165700001128 TUBO CUAD 1 C.18B;00105;01/02/2022;kg  ;-1.148,00;0,00;0,00;1.148,00;1.148,00;$4.021.805,62;-$4.021.805,62;$4.008.018,14;$5.653,90;$8.133,58;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001128 TUBO CUAD 1 C.18B;TUBO CUAD 1 C.18B;OP-0000165700001128 TUBO CUAD 1 C.18B;00105;02/02/2022;Und ;1.278,40;1.278,40;252,00;0,00;0,00;$0,00;$4.190.445,12;$0,00;$0,00;$0,00;IN143005  ;$8.133,58;$51.444,40;$122.849,00;EDP
;OP-00001657;00001132 TUBO CUAD 1 C.22;CINTA CR 0,65 MM X 93 MM;OP-0000165700001132 TUBO CUAD 1 C.22;00105;01/02/2022;kg  ;-562,00;0,00;0,00;562,00;562,00;$2.133.543,08;-$2.133.543,08;$2.129.097,66;$1.742,20;$2.703,22;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001132 TUBO CUAD 1 C.22;TUBO CUAD 1 C.22;OP-0000165700001132 TUBO CUAD 1 C.22;00105;02/02/2022;Und ;656,10;656,10;199,00;0,00;0,00;$0,00;$2.217.862,83;$0,00;$0,00;$0,00;IN143005  ;$2.703,22;$24.637,45;$61.424,50;EDP
;OP-00001657;00001133 TUBO CUAD 3/4 C.18B;CINTA 1,05 MM x 73 MM;OP-0000165700001133 TUBO CUAD 3/4 C.18B;00105;01/02/2022;kg  ;-456,00;0,00;0,00;456,00;456,00;$1.602.493,44;-$1.602.493,44;$1.596.437,76;$2.485,20;$3.570,48;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001133 TUBO CUAD 3/4 C.18B;TUBO CUAD 3/4 C.18B;OP-0000165700001133 TUBO CUAD 3/4 C.18B;00105;02/02/2022;Und ;481,25;481,25;125,00;0,00;0,00;$0,00;$1.667.478,24;$0,00;$0,00;$0,00;IN143005  ;$3.570,48;$20.147,25;$47.322,75;EDP
;OP-00001657;00001134 TUBO CUAD 3/4 C.20A;CINTA 0.75 MM x 73 MM;OP-0000165700001134 TUBO CUAD 3/4 C.20A;00105;01/02/2022;kg  ;-449,00;0,00;0,00;449,00;449,00;$1.674.990,01;-$1.674.990,01;$1.670.693,08;$1.764,57;$2.532,36;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001134 TUBO CUAD 3/4 C.20A;TUBO CUAD 3/4 C.20A;OP-0000165700001134 TUBO CUAD 3/4 C.20A;00105;02/02/2022;Und ;495,25;495,25;175,00;0,00;0,00;$0,00;$1.739.974,81;$0,00;$0,00;$0,00;IN143005  ;$2.532,36;$19.426,62;$47.322,75;EDP
;OP-00001657;00001136 TUBO CUAD 3/4 C.22;CINTA 0,65 MM x 73 MM;OP-0000165700001136 TUBO CUAD 3/4 C.22;00105;01/02/2022;kg  ;-1.019,00;0,00;0,00;1.019,00;1.019,00;$3.957.624,04;-$3.957.624,04;$3.949.556,75;$3.307,29;$4.760,00;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001136 TUBO CUAD 3/4 C.22;TUBO CUAD 3/4 C.22;OP-0000165700001136 TUBO CUAD 3/4 C.22;00105;02/02/2022;Und ;1.099,53;1.099,53;443,00;0,00;0,00;$0,00;$4.106.928,59;$0,00;$0,00;$0,00;IN143005  ;$4.760,00;$43.864,59;$108.747,25;EDP
;OP-00001657;00001142 TUBO RECT 2X1 C.18A;CINTA 0.95 MM x 147 MM;OP-0000165700001142 TUBO RECT 2X1 C.18A;00105;01/02/2022;kg  ;-3.784,00;0,00;0,00;3.784,00;3.784,00;$15.752.867,68;-$15.752.867,68;$15.728.120,32;$10.141,12;$14.606,24;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001142 TUBO RECT 2X1 C.18A;TUBO RECT 2X1 C.18A;OP-0000165700001142 TUBO RECT 2X1 C.18A;00105;02/02/2022;Und ;4.023,36;4.023,36;562,00;0,00;0,00;$0,00;$16.311.415,98;$0,00;$0,00;$0,00;IN143005  ;$14.606,24;$161.903,92;$406.785,50;EDP
;OP-00001657;00001148 TUBO RECT 3X1 1/2 C.20A;CINTA 0.75 MM x 225 MM;OP-0000165700001148 TUBO RECT 3X1 1/2 C.20A;00105;01/02/2022;kg  ;-8.842,00;0,00;0,00;8.842,00;8.842,00;$37.645.893,84;-$37.645.893,84;$37.610.101,25;$14.660,21;$21.132,38;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001148 TUBO RECT 3X1 1/2 C.20A;TUBO RECT 3X1 1/2 C.20A;OP-0000165700001148 TUBO RECT 3X1 1/2 C.20A;00105;02/02/2022;Und ;8.791,93;8.791,93;1.019,00;0,00;0,00;$0,00;$38.945.589,84;$0,00;$0,00;$0,00;IN143005  ;$21.132,38;$367.901,21;$946.455,00;EDP
;OP-00001657;00001150 TUBO RECT 3X1 1/2 C.22;CINTA 0,65 MM X 225 MM;OP-0000165700001150 TUBO RECT 3X1 1/2 C.22;00105;01/02/2022;kg  ;-4.932,00;0,00;0,00;4.932,00;4.932,00;$20.077.749,94;-$20.077.749,94;$20.061.914,18;$6.429,40;$9.406,36;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001150 TUBO RECT 3X1 1/2 C.22;TUBO RECT 3X1 1/2 C.22;OP-0000165700001150 TUBO RECT 3X1 1/2 C.22;00105;02/02/2022;Und ;5.237,78;5.237,78;691,00;0,00;0,00;$0,00;$20.805.579,70;$0,00;$0,00;$0,00;IN143005  ;$9.406,36;$204.244,36;$530.014,80;EDP
;OP-00001657;00002356 TUBO CUAD 1 1/2 C.18A;CINTA 0.95 MM x 147 MM;OP-0000165700002356 TUBO CUAD 1 1/2 C.18A;00105;01/02/2022;kg  ;-941,00;0,00;0,00;941,00;941,00;$3.917.393,17;-$3.917.393,17;$3.911.252,62;$2.525,86;$3.614,69;IN141006  ;$0,00;$0,00;$0,00;SCM
